Word,Emotionmean,n
noise,-0.79,29
nose,-0.24,45
noun,0.19,31
nowhere,-1.35,31
number,0.38,32
nun,0.95,43
nurse,1.67,12
oak,1.26,43
oatmeal,1.58,12
oblique,0.25,32
oblivion,-1.07,28
oboe,0.84,31
ocean,3.51,43
officer,-0.92,12
oil,-0.39,41
olive,-1.08,12
onion,-0.91,11
optimism,4.34,29
orange,2.11,28
oration,0.18,33
orchestra,1.85,39
oriole,1.48,29
ornament,2.55,44
outset,-0.19,31
oven,0.27,11
overcoat,0.42,12
overtone,0.29,31
owl,0.82,44
oxen,0.41,27
pacifism,-0.03,30
pact,1.82,28
page,-0.02,43
paint,1,12
painter,0.75,12
palace,3.85,13
pall,-0.79,28
palm,1,10
pan,-0.1,29
panorama,0.71,31
pants,1.31,13
paper,0.18,11
par,0.9,31
parade,2.49,41
paradox,-0.27,30
pardon,0.74,31
park,2.5,40
parrot,1.19,31
parry,-0.07,28
partridge,0.45,29
party,3.57,42
pasture,1.09,11
patent,0.84,32
pathetic,-3.25,32
pea,0.23,39
peace,4.62,29
peach,2.33,12
peacock,1.06,31
pear,1.42,12
pearl,2.85,13
pedal,0.09,11
peg,-0.18,28
pelican,1.1,29
pen,-0.14,42
pencil,0.5,12
pendulum,-0.26,43
penguin,1.53,30
penny,0.38,13
pepper,-0.17,41
perjury,-3.39,31
person,1.65,40
personal,0.47,30
pet,3.07,45
pheasant,0.45,33
phone,1.5,44
physician,1.11,44
pianist,1.08,13
piano,1.85,41
piccolo,0.52,31
pickle,1.33,12
picture,1.33,12
pie,3,44
pig,-0.27,41
pigeon,-1.27,11
pill,-1.73,11
pillow,3.5,12
pin,-1.33,12
pine,1.08,12
pineapple,2.07,43
pipe,-0.46,13
pique,-0.2,30
pistol,-3.55,29
pitchfork,-0.94,32
plane,1.49,43
planet,1.54,13
plant,1.31,13
platter,0.55,11
plea,-1.67,30
pledge,2.03,30
pliers,-0.45,11
plot,0,33
plug,0,11
plum,1.23,44
pole,0.33,12
police,-1.62,29
policeman,-0.44,43
polio,-4.37,43
polo,0.91,34
pond,2.64,11
pony,1.88,42
pool,3.67,12
pope,1.27,11
porch,1.67,12
porcupine,-0.68,31
portrait,1.53,43
potato,1.27,11
pound,-1.5,12
power,1.9,31
prairie,1.31,42
precursor,-0.46,28
president,0.33,40
priest,1.5,12
primate,0.9,29
prince,2.92,12
prison,-4.2,41
prisoner,-3.63,43
problem,-3.31,29
professor,0.89,45
profile,-0.54,13
projector,0.07,44
propeller,0.14,43
proxy,0.31,29
prune,-0.85,13
pub,1.14,28
puddle,0.31,13
pulpit,0.45,11
pump,0.28,43
pumpkin,2.21,29
pun,0.36,33
punch,-1.38,32
punt,-0.53,32
pup,3.14,43
pupil,1.02,43
puppy,4.12,41
purse,1.33,12
quack,0.37,30
quantity,0.4,30
quartet,1.47,30
queen,2.83,12
quest,1.86,28
quicksand,-3.06,31
rabbi,0.92,12
rabbit,1.98,41
raccoon,-0.16,31
racer,0.97,30
racket,-0.17,30
radio,2.02,43
radish,-0.4,30
rail,-0.08,12
railroad,0.35,43
rain,1.25,12
rake,-0.26,43
rally,0.23,30
rape,-5.6,42
rarity,0.87,30
raspberry,2.09,43
rat,-2.49,43
rattle,-0.15,13
ray,0.61,31
reality,0.62,29
realm,0.69,29
rebound,1.41,32
record,2,11
recorder,0.56,32
referee,0.83,12
refrain,-0.72,29
refresh,2.9,30
regency,-0.07,30
reign,0.2,30
remedy,2.86,28
reminder,0.73,30
reprisal,0.06,32
republic,1.13,31
revenge,-3.28,32
review,0.07,30
revolver,-3.07,43
rhino,0.03,33
ribbon,1.58,12
ricochet,-0.34,32
rifle,-2.53,43
ring,2.75,12
riot,-3.33,33
ripple,0.65,31
rite,0.52,31
river,2.35,43
roach,-2.97,29
road,0.33,12
robin,1.48,42
rock,0,12
rocket,1.19,42
role,0.48,33
roof,-0.5,12
rooster,1,28
root,0.17,12
rope,0.42,12
rose,3.52,42
rug,0.16,43
rum,0.36,39
rumour,-2.9,29
sack,-0.42,31
saddle,1.46,13
saga,-0.81,31
sail,1.95,40
sailboat,2.25,28
salad,0.92,13
salmon,0.64,33
salt,0.45,11
sandpaper,-0.77,30
satin,2.91,11
satire,0.19,31
sauce,0.45,11
saxophone,1.49,45
scalpel,-2.66,29
scar,-2.23,13
scare,-2.87,31
school,1.45,11
scissors,0.19,42
scooter,1.77,31
scotch,-0.08,12
scout,0.64,11
scream,-3.37,43
screech,-2.57,30
sea,2.55,42
seagull,-0.13,31
seal,1.17,12
seam,-0.25,12
seat,0.23,13
seaweed,-1.5,12
secretary,0.37,43
semester,0.12,33
serial,-1.76,29
severance,-1.58,31
sex,3.93,42
shadow,0.83,12
shame,-3.69,29
shawl,-0.23,13
shed,0,10
sheep,0.7,44
sheet,0.58,12
shell,1.75,12
shelves,0.47,30
shield,-0.15,13
ship,1.25,12
shirt,1.54,13
shoe,1.33,39
shop,2.17,12
shore,3.08,12
shot,-2.89,28
shotgun,-3.13,30
shoulder,0.16,43
shower,2.82,11
shrimp,1.07,42
shrub,1.09,11
shy,-1.17,30
simile,1.07,28
simple,1.33,33
sin,-4.55,29
singer,2.58,45
sink,-0.08,12
siren,-2.95,44
sister,2.68,44
skate,1.64,11
skin,1.27,11
skirt,2.17,12
skull,-2.69,13
sky,3.02,45
slang,-0.47,30
slave,-4.84,44
slavery,-5.41,32
sled,2,32
sleeve,0,11
slingshot,-0.23,30
slipper,1.45,11
slope,0.08,12
sly,-1.64,33
smack,-1.08,12
smile,4.76,42
smoke,-4.08,12
snail,-0.15,13
snake,-2.61,44
sneer,-3.23,30
sneeze,-0.62,29
snow,2.75,12
snub,-2.18,33
soap,2.69,13
sob,-2.67,30
sobriety,1.23,30
soccer,2.33,42
sock,-0.25,12
sofa,2.75,12
soil,-0.25,12
soldier,-0.15,13
solemnity,-0.09,32
song,3.73,11
soup,1.83,12
spade,-0.07,28
spaghetti,1.53,30
span,0.07,30
spatula,0.65,31
spear,-2.16,31
speech,0.69,32
sphere,0.73,11
spice,0.31,13
spider,-2.42,12
spinach,-0.69,13
sponge,-0.15,13
spoon,1.08,12
spray,-0.38,13
spring,3.58,40
squawk,-0.52,29
squeak,-0.9,31
squeal,-1,30
squid,-0.61,31
squirrel,0.87,45
stadium,1.83,12
stair,-0.15,13
stallion,1.69,32
stampede,-2.7,30
stapler,-0.11,28
star,4.33,12
station,-0.08,12
steak,2.33,12
steam,-0.1,10
steeple,0.27,11
stereo,1.93,30
stew,0.69,13
sting,-3.23,13
stipend,0.72,29
stocking,0.83,12
stoic,-0.1,30
stomach,-0.82,11
stone,-0.58,12
storm,-0.36,39
stove,-0.08,13
straw,1,12
street,0.08,13
stride,1.27,30
string,0.42,12
stripe,0.08,13
student,1.73,11
submarine,-0.32,44
subway,0.59,32
suds,1,11
suffrage,-0.9,31
sugar,2.09,11
sulphur,-2.15,13
sum,0.2,30
summer,4.19,42
sun,4,43
sunburn,-3,12
sunlight,3.91,43
sunset,4.53,43
sunshine,4.32,44
supper,2.25,12
surf,2.55,11
surfboard,2.03,29
swamp,-2.08,13
sweat,1.17,12
swim,2.23,13
sword,-0.9,41
sympathy,1.3,27
symphony,2.27,30
table,0.08,12
tail,0.36,11
tally,0.21,33
tangerine,2.14,29
tank,-1.08,12
tap,0,30
tape,-0.31,13
tar,-1.49,41
tax,-2.52,31
tea,1.6,45
teacher,2.25,12
team,3,12
teeth,0.18,11
telephone,1.86,43
telescope,1.17,12
tennis,1.63,43
tenor,0.32,31
tent,1.58,12
termite,-2.5,30
testimony,-0.23,30
theme,0.61,33
theory,0.94,32
thief,-3.29,31
thorn,-3.08,13
thread,0,11
throat,-1.62,13
thumb,-0.08,12
thunder,0.39,44
ticket,-1.25,12
tie,0.45,44
tiger,1.07,42
timber,-0.27,11
timpani,0.65,26
tip,1.87,31
toad,-0.45,11
toast,1.38,13
toaster,0.48,31
tobacco,-3.58,43
toe,-0.64,44
toilet,-0.25,12
tolerant,2.17,30
tomato,0.63,41
tomb,-3.15,13
tongue,1.58,12
tool,0.58,31
tooth,0.42,12
torment,-4.48,31
tornado,-3.02,41
tortoise,1.31,32
toucan,1.43,30
tourist,0.5,12
tower,0.25,12
town,0.92,12
toy,2.93,41
tractor,-0.5,12
trailer,-1.38,42
train,0.05,40
trapeze,0.82,34
trash,-3.45,11
tray,0,12
treaty,2.45,31
tree,2.15,13
tribute,2.48,31
tricycle,1.35,31
trolley,0.75,12
trombone,1.04,28
trout,0.75,12
truce,2.83,30
truck,0.29,42
trumpet,0.66,41
trust,4.16,31
truth,4.24,29
tuba,1.31,32
tube,-0.33,12
tulip,3.02,42
tune,1.48,29
tunnel,-0.73,11
turnip,-0.17,30
turtle,1.36,39
twilight,2.49,45
tyranny,-3.72,32
umbrella,0.61,44
umpire,0.23,13
unanimity,-0.26,31
uncle,1.92,13
uniform,-0.15,13
universal,1.36,28
uproar,-1.11,28
vacuum,0.46,28
valley,2,12
van,0.19,43
vase,1.08,12
vault,0.85,13
vegetable,0.76,42
vehicle,1.48,42
velocity,0.93,29
velvet,1.82,11
verb,0.33,30
vest,0,12
vice,-1.77,31
vigilance,0.5,30
village,1.92,13
vim,0,30
vine,0.08,12
vinegar,-1.27,11
viola,1.93,29
violin,0.15,13
volcano,-1.24,41
vote,2.03,30
vow,2.81,31
wall,-0.42,12
wallet,1.83,12
walnut,0.25,12
walrus,0.67,12
war,-4.78,45
wasp,-3.75,32
water,3.12,42
watt,0.31,29
way,0.82,28
weakness,-3.09,34
weapon,-3.29,31
wee,1.07,29
weed,-2.69,13
whale,1.48,31
wheat,0.92,12
wheel,0.21,42
whine,-2.77,31
whip,-2.64,11
whiskey,-1.18,11
whisper,1.08,13
whistle,1.36,11
whole,1.06,31
whoop,0.61,33
wife,2.77,13
wig,-0.29,42
willow,2,12
win,3.97,31
window,1.45,11
wine,2.38,13
wing,0.74,42
winter,1.05,43
wire,-0.17,12
wisdom,4.38,29
wise,3.53,30
wit,2.57,30
witch,-2.75,12
wizard,2.09,11
woe,-2.97,31
wolf,0.46,13
wonder,2.5,30
wood,0.17,12
woof,1.46,28
wool,-0.64,11
worm,-2.08,12
worth,1.88,26
wrack,-0.55,31
wrapper,0.17,30
wreck,-3.25,12
xylophone,1.52,31
yacht,1.55,11
yam,0.12,32
yard,0.91,11
year,0.57,30
yelp,-2.28,32
yodel,-0.03,31
zeal,1.14,28
zebra,0.94,32
zen,1.52,29
zipper,0.31,45
zone,-0.13,30
zoo,2.36,39
zucchini,0.03,30
